Trip Date,Trip Year,Trip Month,Day Name,Is Weekend,Service Type,Pickup Borough,Trip Count,Total Revenue,Total Fare Amount,Total Tip Amount,Avg Revenue Per Trip,Avg Fare Amount,Avg Tip Percentage,Avg Revenue Per Mile,Avg Trip Distance,Avg Trip Duration Minutes,Revenue Per Trip
2025-01-04,2025,1,Saturday,true,green,Bronx,6,140.35,125.6,0.0,23.39,20.93,0.0,5.55,4.6,18.0,23.39
2025-01-04,2025,1,Saturday,true,green,Brooklyn,209,5145.9,4126.45,572.7,24.62,19.74,15.78,14.24,3.07,21.97,24.62
2025-01-04,2025,1,Saturday,true,green,Manhattan,663,13547.88,9827.55,1608.98,20.43,14.82,16.25,12.48,2.53,18.96,20.43
2025-01-04,2025,1,Saturday,true,green,Queens,278,6982.04,5749.95,572.66,25.12,20.68,12.98,28.23,3.64,15.18,25.12
2025-01-04,2025,1,Saturday,true,green,Unknown,3,49.55,32.8,8.5,16.52,10.93,34.58,12.17,2.11,5.33,16.52
2025-01-04,2025,1,Saturday,true,yellow,Bronx,179,6648.13,5969.01,70.74,37.14,33.35,1.29,24.77,8.73,33.88,37.14
2025-01-04,2025,1,Saturday,true,yellow,Brooklyn,896,27034.41,23444.5,1337.59,30.17,26.17,6.96,10.27,5.45,26.81,30.17
2025-01-04,2025,1,Saturday,true,yellow,Manhattan,84063,1865085.99,1256962.58,233015.09,22.19,14.95,20.52,14.76,2.29,13.42,22.19
2025-01-04,2025,1,Saturday,true,yellow,Queens,8193,586668.74,438355.52,71096.27,71.61,53.5,16.11,12.54,13.02,31.35,71.61
2025-01-04,2025,1,Saturday,true,yellow,Staten Island,3,112.19,62.49,16.94,37.4,20.83,14.08,5.74,6.22,15.0,37.4
2025-01-04,2025,1,Saturday,true,yellow,Unknown,256,8159.98,5970.84,961.24,31.87,23.32,19.01,15.12,4.49,15.6,31.87
2025-01-05,2025,1,Sunday,true,green,Bronx,8,116.63,99.33,1.3,14.58,12.42,2.26,9.43,1.83,9.0,14.58
2025-01-05,2025,1,Sunday,true,green,Brooklyn,204,5863.96,4682.43,672.98,28.74,22.95,16.67,10.22,3.97,22.36,28.74
2025-01-05,2025,1,Sunday,true,green,Manhattan,580,11619.67,8351.22,1416.1,20.03,14.4,17.18,9.82,2.44,20.67,20.03
2025-01-05,2025,1,Sunday,true,green,Queens,262,6235.25,5166.03,474.75,23.8,19.72,11.1,14.25,3.41,25.56,23.8
2025-01-05,2025,1,Sunday,true,green,Unknown,2,54.2,48.7,0.0,27.1,24.35,0.0,9.32,4.93,21.5,27.1
